"term","contrast","country","estimate","conf.low","conf.high"
"flooding","flooding","Ghana",0.110130000300164,0.0353254136249268,0.179202950431886
"heatwave","heatwave","Ghana",0.133885081145457,-0.0932395873296698,0.307083827158652
"hurricane","hurricane","Ghana",0.0791056858809166,0.00128975816026265,0.152081189606237
"mudslide","mudslide","Ghana",0.109740457982417,-0.0118295647055145,0.237079384784575
"sandstorm","sandstorm","Ghana",0.0561042999248301,-0.30278086436671,0.315585835249265
"snowstorm","snowstorm","Ghana",0.0649944929185199,-0.122607627747426,0.242751414919214
"thunder","thunder","Ghana",0.0629013058541617,-0.109813190439871,0.19790916791211
"tornado","tornado","Ghana",0.0817415164048525,-0.0994935461229753,0.262953272812752
"volcano","volcano","Ghana",-0.0137365300998769,-0.385732539923749,0.313378231719526
"wildfire","wildfire","Ghana",0.0703463284296497,-0.0892066713667374,0.170646173330166
"drought","drought","Guinea",0.0975363952956242,-0.0775326696647131,0.234288892785643
"earthquake","earthquake","Guinea",0.103138988008769,-0.00253082978571333,0.206607969085682
"flooding","flooding","Guinea",0.0926397331800273,0.0331760448990516,0.151652537964309
"heatwave","heatwave","Guinea",0.123791344704601,-0.0970090657116752,0.263636328304489
"hurricane","hurricane","Guinea",0.0759433238779475,0.0264337948291492,0.130693851658656
"mudslide","mudslide","Guinea",0.100059673287795,-0.0140200224904518,0.21176315722761
"sandstorm","sandstorm","Guinea",0.0538462214434143,-0.321782578343754,0.277501560125086
"snowstorm","snowstorm","Guinea",0.0607524976797602,-0.130770688891992,0.225713958634739
"thunder","thunder","Guinea",0.0680881296738131,-0.0673580395199973,0.192544421398336
"tornado","tornado","Guinea",0.0714388487990763,-0.0665394401373937,0.185493184304263
"volcano","volcano","Guinea",-0.0102479650892667,-0.415075458570575,0.27236560419484
"wildfire","wildfire","Guinea",0.0722953628284556,-0.0536201569456369,0.176856567493323
"drought","drought","India",0.0514539506953227,-0.106793193533907,0.208929407241083
"earthquake","earthquake","India",0.0591243972633506,-0.00321533396736731,0.124206205167406
"flooding","flooding","India",0.0557425060755317,0.00938514968490171,0.102904943603396
"heatwave","heatwave","India",0.139411128149935,-0.0796398307134833,0.334098370698583
"hurricane","hurricane","India",0.0765872763970223,0.0330439247817325,0.117253412764638
"mudslide","mudslide","India",0.117265043760216,0.0118950943448124,0.280853929320768
